date,store_id,city,store_profile,family,onpromotion,holiday_flag,holiday_name,local_event_flag,local_event_name,weekend_flag,payday_flag,heatwave_flag,avg_temp_f,temp_index,day_of_week,day_name,month,week_of_year,quarter,day_of_month,pred_transactions,pred_sales,baseline_sales,explanation
2026-01-01,S001,Tempe,campus corridor,bakery,0,1,new_years_day,0,none,0,1,0,76.9,0.3981818181818183,3,Thursday,1,1,1,1,925.5362548828125,139.83892822265625,99.5925,"Expect above-normal bakery demand because of new years day, payday effect."
2026-01-01,S001,Tempe,campus corridor,beverages,0,1,new_years_day,0,none,0,1,0,76.9,0.3981818181818183,3,Thursday,1,1,1,1,925.5362548828125,273.141845703125,202.825,"Expect above-normal beverages demand because of new years day, payday effect."
2026-01-01,S001,Tempe,campus corridor,dairy,0,1,new_years_day,0,none,0,1,0,76.9,0.3981818181818183,3,Thursday,1,1,1,1,925.5362548828125,182.894287109375,131.295,"Expect above-normal dairy demand because of new years day, payday effect."
2026-01-01,S001,Tempe,campus corridor,frozen,1,1,new_years_day,0,none,0,1,0,76.9,0.3981818181818183,3,Thursday,1,1,1,1,925.5362548828125,137.11219787597656,84.43,"Expect above-normal frozen demand because of new years day, promotion activity, payday effect."
2026-01-01,S001,Tempe,campus corridor,produce,1,1,new_years_day,0,none,0,1,0,76.9,0.3981818181818183,3,Thursday,1,1,1,1,925.5362548828125,277.52392578125,190.27249999999998,"Expect above-normal produce demand because of new years day, promotion activity, payday effect."
2026-01-01,S001,Tempe,campus corridor,snacks,1,1,new_years_day,0,none,0,1,0,76.9,0.3981818181818183,3,Thursday,1,1,1,1,925.5362548828125,251.0374755859375,157.2575,"Expect above-normal snacks demand because of new years day, promotion activity, payday effect."
2026-01-01,S002,Phoenix,urban flagship,bakery,0,1,new_years_day,0,none,0,1,0,80.4,0.4618181818181819,3,Thursday,1,1,1,1,1075.9169921875,215.3459930419922,133.065,"Expect above-normal bakery demand because of new years day, payday effect."
2026-01-01,S002,Phoenix,urban flagship,beverages,0,1,new_years_day,0,none,0,1,0,80.4,0.4618181818181819,3,Thursday,1,1,1,1,1075.9169921875,306.2181091308594,239.305,"Expect above-normal beverages demand because of new years day, payday effect."
2026-01-01,S002,Phoenix,urban flagship,dairy,1,1,new_years_day,0,none,0,1,0,80.4,0.4618181818181819,3,Thursday,1,1,1,1,1075.9169921875,252.33914184570312,172.4325,"Expect above-normal dairy demand because of new years day, promotion activity, payday effect."
2026-01-01,S002,Phoenix,urban flagship,frozen,0,1,new_years_day,0,none,0,1,0,80.4,0.4618181818181819,3,Thursday,1,1,1,1,1075.9169921875,182.04273986816406,128.5075,"Expect above-normal frozen demand because of new years day, payday effect."
2026-01-01,S002,Phoenix,urban flagship,produce,1,1,new_years_day,0,none,0,1,0,80.4,0.4618181818181819,3,Thursday,1,1,1,1,1075.9169921875,329.73883056640625,245.385,"Expect above-normal produce demand because of new years day, promotion activity, payday effect."
2026-01-01,S002,Phoenix,urban flagship,snacks,0,1,new_years_day,0,none,0,1,0,80.4,0.4618181818181819,3,Thursday,1,1,1,1,1075.9169921875,291.26373291015625,191.83249999999998,"Expect above-normal snacks demand because of new years day, payday effect."
2026-01-01,S003,Mesa,family suburban,bakery,0,1,new_years_day,0,none,0,1,0,78.4,0.4254545454545456,3,Thursday,1,1,1,1,849.3947143554688,125.79141235351562,86.1375,"Expect above-normal bakery demand because of new years day, payday effect."
2026-01-01,S003,Mesa,family suburban,beverages,1,1,new_years_day,0,none,0,1,0,78.4,0.4254545454545456,3,Thursday,1,1,1,1,849.3947143554688,249.3068084716797,160.315,"Expect above-normal beverages demand because of new years day, promotion activity, payday effect."
2026-01-01,S003,Mesa,family suburban,dairy,0,1,new_years_day,0,none,0,1,0,78.4,0.4254545454545456,3,Thursday,1,1,1,1,849.3947143554688,144.80519104003906,101.175,"Expect above-normal dairy demand because of new years day, payday effect."
2026-01-01,S003,Mesa,family suburban,frozen,0,1,new_years_day,0,none,0,1,0,78.4,0.4254545454545456,3,Thursday,1,1,1,1,849.3947143554688,98.29408264160156,76.1275,"Expect above-normal frozen demand because of new years day, payday effect."
2026-01-01,S003,Mesa,family suburban,produce,0,1,new_years_day,0,none,0,1,0,78.4,0.4254545454545456,3,Thursday,1,1,1,1,849.3947143554688,233.46168518066406,173.1875,"Expect above-normal produce demand because of new years day, payday effect."
2026-01-01,S003,Mesa,family suburban,snacks,0,1,new_years_day,0,none,0,1,0,78.4,0.4254545454545456,3,Thursday,1,1,1,1,849.3947143554688,213.73216247558594,146.39999999999998,"Expect above-normal snacks demand because of new years day, payday effect."
2026-01-01,S004,Scottsdale,premium suburban,bakery,0,1,new_years_day,0,none,0,1,0,74.9,0.3618181818181819,3,Thursday,1,1,1,1,1026.560791015625,189.94236755371094,111.58,"Expect above-normal bakery demand because of new years day, payday effect."
2026-01-01,S004,Scottsdale,premium suburban,beverages,1,1,new_years_day,0,none,0,1,0,74.9,0.3618181818181819,3,Thursday,1,1,1,1,1026.560791015625,315.3454895019531,204.3275,"Expect above-normal beverages demand because of new years day, promotion activity, payday effect."
2026-01-01,S004,Scottsdale,premium suburban,dairy,0,1,new_years_day,0,none,0,1,0,74.9,0.3618181818181819,3,Thursday,1,1,1,1,1026.560791015625,210.1347198486328,140.21,"Expect above-normal dairy demand because of new years day, payday effect."
