date,store_id,city,store_profile,family,onpromotion,holiday_flag,holiday_name,local_event_flag,local_event_name,weekend_flag,payday_flag,heatwave_flag,avg_temp_f,temp_index,day_of_week,day_name,month,week_of_year,quarter,day_of_month,pred_transactions,pred_sales,baseline_sales,explanation,delta_units,uplift_pct,case_pack,safety_stock_units,estimated_on_hand_units,recommended_order_units,event_or_holiday_flag,priority,action,drivers
2026-01-01,S001,Tempe,campus corridor,bakery,0,1,new_years_day,0,none,0,1,0,76.9,0.3981818181818183,3,Thursday,1,1,1,1,925.5362548828124,139.83892822265625,99.5925,"Expect above-normal bakery demand because of new years day, payday effect.",40.24642822265625,40.41110346929362,8,13.983892822265625,109.6,48,1,High,Increase order,"new years day, payday"
2026-01-01,S001,Tempe,campus corridor,beverages,0,1,new_years_day,0,none,0,1,0,76.9,0.3981818181818183,3,Thursday,1,1,1,1,925.5362548828124,273.141845703125,202.825,"Expect above-normal beverages demand because of new years day, payday effect.",70.31684570312501,34.66872708153581,24,49.1655322265625,223.1,120,1,High,Increase order,"new years day, payday"
2026-01-01,S001,Tempe,campus corridor,dairy,0,1,new_years_day,0,none,0,1,0,76.9,0.3981818181818183,3,Thursday,1,1,1,1,925.5362548828124,182.894287109375,131.295,"Expect above-normal dairy demand because of new years day, payday effect.",51.59928710937501,39.30026818186147,12,21.947314453125,144.4,72,1,High,Increase order,"new years day, payday"
2026-01-01,S001,Tempe,campus corridor,frozen,1,1,new_years_day,0,none,0,1,0,76.9,0.3981818181818183,3,Thursday,1,1,1,1,925.5362548828124,137.11219787597656,84.43,"Expect above-normal frozen demand because of new years day, promotion activity, payday effect.",52.682197875976556,62.39748652845736,10,17.824585723876954,92.9,70,1,High,Increase order,"new years day, promotion, payday"
2026-01-01,S001,Tempe,campus corridor,produce,1,1,new_years_day,0,none,0,1,0,76.9,0.3981818181818183,3,Thursday,1,1,1,1,925.5362548828124,277.52392578125,190.2725,"Expect above-normal produce demand because of new years day, promotion activity, payday effect.",87.25142578124999,45.856035833475666,12,33.30287109375,209.3,108,1,High,Increase order,"new years day, promotion, payday"
2026-01-01,S001,Tempe,campus corridor,snacks,1,1,new_years_day,0,none,0,1,0,76.9,0.3981818181818183,3,Thursday,1,1,1,1,925.5362548828124,251.0374755859375,157.2575,"Expect above-normal snacks demand because of new years day, promotion activity, payday effect.",93.7799755859375,59.63466008676057,18,40.16599609375,173.0,126,1,High,Increase order,"new years day, promotion, payday"
2026-01-01,S002,Phoenix,urban flagship,bakery,0,1,new_years_day,0,none,0,1,0,80.4,0.4618181818181819,3,Thursday,1,1,1,1,1075.9169921875,215.3459930419922,133.065,"Expect above-normal bakery demand because of new years day, payday effect.",82.28099304199219,61.83518809754044,8,21.53459930419922,146.4,96,1,High,Increase order,"new years day, payday"
2026-01-01,S002,Phoenix,urban flagship,beverages,0,1,new_years_day,0,none,0,1,0,80.4,0.4618181818181819,3,Thursday,1,1,1,1,1075.9169921875,306.2181091308594,239.305,"Expect above-normal beverages demand because of new years day, payday effect.",66.91310913085937,27.96143378987458,24,55.119259643554685,263.2,120,1,High,Increase order,"new years day, payday"
2026-01-01,S002,Phoenix,urban flagship,dairy,1,1,new_years_day,0,none,0,1,0,80.4,0.4618181818181819,3,Thursday,1,1,1,1,1075.9169921875,252.33914184570312,172.4325,"Expect above-normal dairy demand because of new years day, promotion activity, payday effect.",79.90664184570312,46.340824291072224,12,30.280697021484375,189.7,96,1,High,Increase order,"new years day, promotion, payday"
2026-01-01,S002,Phoenix,urban flagship,frozen,0,1,new_years_day,0,none,0,1,0,80.4,0.4618181818181819,3,Thursday,1,1,1,1,1075.9169921875,182.0427398681641,128.5075,"Expect above-normal frozen demand because of new years day, payday effect.",53.5352398681641,41.659233794264225,10,23.665556182861334,141.4,70,1,High,Increase order,"new years day, payday"
