store_id,city,store_profile,family,forecast_units_14d,baseline_units_14d,recommended_order_units,event_days,promo_days,peak_daily_units,avg_pred_transactions,delta_units_14d,uplift_pct_14d,priority
S003,Mesa,family suburban,beverages,2538.9,2566.8,408,1,4,249.3,876.0,-27.9,-1.1,High
S004,Scottsdale,premium suburban,beverages,3190.1,3254.5,408,1,2,315.3,1040.0,-64.3,-2.0,High
S002,Phoenix,urban flagship,snacks,3179.0,3174.3,378,1,1,291.3,1101.0,4.7,0.1,High
S001,Tempe,campus corridor,beverages,2759.9,2884.3,360,1,1,273.1,946.0,-124.4,-4.3,High
S001,Tempe,campus corridor,snacks,2499.7,2455.8,342,1,5,251.0,946.0,43.9,1.8,High
S004,Scottsdale,premium suburban,snacks,2814.2,2875.7,324,1,2,280.4,1040.0,-61.5,-2.1,High
S003,Mesa,family suburban,snacks,2153.9,2161.0,306,1,2,213.7,876.0,-7.1,-0.3,High
S002,Phoenix,urban flagship,beverages,3626.6,3947.2,288,1,3,324.8,1101.0,-320.6,-8.1,High
S004,Scottsdale,premium suburban,produce,3438.3,3504.6,216,1,2,301.6,1040.0,-66.3,-1.9,High
S004,Scottsdale,premium suburban,frozen,1719.3,1663.7,210,1,4,147.4,1040.0,55.6,3.3,High
S001,Tempe,campus corridor,produce,2814.8,2864.3,192,1,1,277.5,946.0,-49.5,-1.7,High
S003,Mesa,family suburban,produce,2611.7,2679.5,192,1,2,233.5,876.0,-67.8,-2.5,High
S004,Scottsdale,premium suburban,dairy,2220.5,2257.6,192,1,1,210.1,1040.0,-37.1,-1.6,High
S001,Tempe,campus corridor,dairy,1922.3,1923.3,180,1,1,182.9,946.0,-0.9,-0.0,High
S002,Phoenix,urban flagship,dairy,2535.5,2584.1,168,1,2,252.3,1101.0,-48.6,-1.9,High
S004,Scottsdale,premium suburban,bakery,2039.6,2012.6,168,1,2,189.9,1040.0,27.0,1.3,High
S003,Mesa,family suburban,dairy,1742.1,1744.3,156,1,1,150.0,876.0,-2.2,-0.1,High
S002,Phoenix,urban flagship,produce,3626.7,3927.2,132,1,2,329.7,1101.0,-300.4,-7.7,High
S002,Phoenix,urban flagship,bakery,2207.7,2220.6,120,1,0,215.3,1101.0,-12.9,-0.6,High
S002,Phoenix,urban flagship,frozen,1874.5,1980.6,120,1,1,182.0,1101.0,-106.0,-5.4,High
S003,Mesa,family suburban,frozen,1224.1,1263.5,110,1,1,111.8,876.0,-39.4,-3.1,High
S001,Tempe,campus corridor,frozen,1418.4,1456.8,90,1,1,137.1,946.0,-38.5,-2.6,High
S001,Tempe,campus corridor,bakery,1623.1,1676.7,72,1,0,139.8,946.0,-53.6,-3.2,High
S003,Mesa,family suburban,bakery,1495.4,1540.9,72,1,0,125.8,876.0,-45.5,-3.0,High
