feature,importance
num__rolling_sales_28,0.26202962
cat__holiday_name_none,0.1286093
num__holiday_flag,0.0674401
cat__local_event_name_none,0.057619188
num__weekend_flag,0.054043308
cat__city_Phoenix,0.052506972
num__lag_sales_14,0.049951658
num__local_event_flag,0.04530519
num__onpromotion,0.029174298
num__day_of_week,0.024013195
num__transactions,0.023049848
cat__holiday_name_christmas_day,0.0198983
num__lag_sales_7,0.018487839
cat__day_name_Wednesday,0.017064286
cat__local_event_name_sports_game,0.017021958
cat__holiday_name_super_bowl,0.015743291
num__payday_flag,0.014128022
cat__family_frozen,0.012210048
num__rolling_sales_7,0.008648416
cat__family_snacks,0.007274516
cat__family_dairy,0.0066916635
cat__day_name_Monday,0.0056775264
cat__local_event_name_state_fair,0.0053195623
cat__day_name_Saturday,0.005237067
cat__holiday_name_labor_day,0.003988335
cat__family_produce,0.0033851347
cat__family_beverages,0.0033229392
cat__family_bakery,0.0033162062
cat__local_event_name_asu_homecoming,0.0031814284
cat__store_id_S002,0.0023656108
num__lag_sales_1,0.002228252
num__week_of_year,0.001843041
cat__city_Scottsdale,0.001699173
num__month,0.0016447535
cat__holiday_name_christmas_eve,0.0015054644
cat__local_event_name_asu_move_in,0.0014321529
num__temp_index,0.0012795413
cat__day_name_Friday,0.0012755261
num__rolling_transactions_7,0.0012579714
cat__holiday_name_independence_day,0.001240041
cat__store_id_S004,0.001082171
num__quarter,0.0010745531
cat__day_name_Sunday,0.0010491639
num__lag_transactions_1,0.0010280109
cat__holiday_name_thanksgiving,0.0010151343
num__lag_transactions_7,0.0009972673
cat__store_id_S001,0.0009899262
cat__holiday_name_halloween,0.00093314884
num__day_of_month,0.0009304129
cat__store_id_S003,0.00091964385
cat__day_name_Thursday,0.0009074758
cat__day_name_Tuesday,0.00089870015
cat__local_event_name_tempe_marathon,0.00084776053
cat__local_event_name_tempe_festival_of_the_arts,0.00078508805
cat__city_Tempe,0.0007488363
cat__holiday_name_memorial_day,0.00073476124
cat__local_event_name_holiday_market,0.0007273132
cat__holiday_name_new_years_day,0.0006439876
cat__holiday_name_new_years_eve,0.00054232485
cat__city_Mesa,0.0005365812
cat__local_event_name_swap_meet_weekend,0.0004969381
num__heatwave_flag,0.0
cat__holiday_name_black_friday,0.0
cat__local_event_name_spring_training,0.0
cat__local_event_name_mesa_fall_festival,0.0
cat__local_event_name_holiday_lights,0.0
cat__local_event_name_holiday_shopping_weekend,0.0
cat__local_event_name_golf_tournament,0.0
cat__local_event_name_downtown_concert_series,0.0
cat__local_event_name_art_walk,0.0
cat__local_event_name_western_week,0.0
