feature,importance
num__lag_transactions_14,0.19356757
num__lag_transactions_7,0.08521406
num__local_event_flag,0.07886245
cat__holiday_name_none,0.07123496
cat__local_event_name_none,0.06826282
num__holiday_flag,0.05218866
num__payday_flag,0.034501236
cat__holiday_name_halloween,0.030705543
cat__local_event_name_tempe_marathon,0.030159147
cat__holiday_name_christmas_day,0.02845099
cat__store_id_S002,0.027842768
cat__holiday_name_labor_day,0.02617742
cat__day_name_Monday,0.02499062
cat__holiday_name_memorial_day,0.02382483
cat__day_name_Saturday,0.021973846
cat__store_id_S003,0.021109145
num__day_of_week,0.017298881
cat__holiday_name_super_bowl,0.016942458
num__rolling_transactions_28,0.012346269
cat__day_name_Wednesday,0.01152852
cat__local_event_name_state_fair,0.00969385
num__lag_transactions_1,0.009236815
cat__local_event_name_asu_move_in,0.008472894
cat__day_name_Friday,0.008424983
cat__city_Mesa,0.007813238
cat__store_id_S004,0.0077625094
num__weekend_flag,0.0076377927
cat__city_Tempe,0.007544179
num__rolling_transactions_7,0.0064607305
num__week_of_year,0.0055567357
cat__holiday_name_independence_day,0.0051266192
num__month,0.0049514305
num__day_of_month,0.004888629
cat__holiday_name_new_years_day,0.0048485072
num__quarter,0.0047566653
cat__day_name_Tuesday,0.0045217425
cat__store_id_S001,0.0035933887
num__temp_index,0.0032707928
cat__day_name_Thursday,0.002796001
cat__day_name_Sunday,0.0027726772
cat__city_Scottsdale,0.0013657685
cat__holiday_name_christmas_eve,0.00077407673
cat__local_event_name_asu_homecoming,0.0005207632
cat__local_event_name_swap_meet_weekend,2.6922235e-05
cat__holiday_name_black_friday,0.0
cat__city_Phoenix,0.0
num__heatwave_flag,0.0
cat__local_event_name_golf_tournament,0.0
cat__local_event_name_downtown_concert_series,0.0
cat__local_event_name_art_walk,0.0
cat__holiday_name_new_years_eve,0.0
cat__holiday_name_thanksgiving,0.0
cat__local_event_name_holiday_shopping_weekend,0.0
cat__local_event_name_holiday_market,0.0
cat__local_event_name_holiday_lights,0.0
cat__local_event_name_spring_training,0.0
cat__local_event_name_tempe_festival_of_the_arts,0.0
cat__local_event_name_mesa_fall_festival,0.0
cat__local_event_name_sports_game,0.0
cat__local_event_name_western_week,0.0
