date,store_id,city,store_profile,family,unit_sales,transactions,onpromotion,holiday_flag,holiday_name,local_event_flag,local_event_name,weekend_flag,payday_flag,heatwave_flag,avg_temp_f,temp_index,day_of_week,day_name,month,week_of_year,quarter,day_of_month
2024-01-01,S001,Tempe,campus corridor,produce,196.52,749.0,0,1,new_years_day,0,none,0,1,0,76.9,0.3981818181818183,0,Monday,1,1,1,1
2024-01-01,S001,Tempe,campus corridor,beverages,198.25,749.0,0,1,new_years_day,0,none,0,1,0,76.9,0.3981818181818183,0,Monday,1,1,1,1
2024-01-01,S001,Tempe,campus corridor,snacks,159.72,749.0,0,1,new_years_day,0,none,0,1,0,76.9,0.3981818181818183,0,Monday,1,1,1,1
2024-01-01,S001,Tempe,campus corridor,dairy,130.08,749.0,0,1,new_years_day,0,none,0,1,0,76.9,0.3981818181818183,0,Monday,1,1,1,1
2024-01-01,S001,Tempe,campus corridor,bakery,145.3,749.0,1,1,new_years_day,0,none,0,1,0,76.9,0.3981818181818183,0,Monday,1,1,1,1
2024-01-01,S001,Tempe,campus corridor,frozen,60.48,749.0,0,1,new_years_day,0,none,0,1,0,76.9,0.3981818181818183,0,Monday,1,1,1,1
2024-01-02,S001,Tempe,campus corridor,produce,195.25,833.0,0,0,none,0,none,0,1,0,76.6,0.39272727272727265,1,Tuesday,1,1,1,2
2024-01-02,S001,Tempe,campus corridor,beverages,160.63,833.0,0,0,none,0,none,0,1,0,76.6,0.39272727272727265,1,Tuesday,1,1,1,2
2024-01-02,S001,Tempe,campus corridor,snacks,185.79,833.0,1,0,none,0,none,0,1,0,76.6,0.39272727272727265,1,Tuesday,1,1,1,2
2024-01-02,S001,Tempe,campus corridor,dairy,120.83,833.0,0,0,none,0,none,0,1,0,76.6,0.39272727272727265,1,Tuesday,1,1,1,2
2024-01-02,S001,Tempe,campus corridor,bakery,107.08,833.0,0,0,none,0,none,0,1,0,76.6,0.39272727272727265,1,Tuesday,1,1,1,2
2024-01-02,S001,Tempe,campus corridor,frozen,93.9,833.0,0,0,none,0,none,0,1,0,76.6,0.39272727272727265,1,Tuesday,1,1,1,2
2024-01-03,S001,Tempe,campus corridor,produce,192.4,877.0,0,0,none,0,none,0,0,0,76.3,0.3872727272727272,2,Wednesday,1,1,1,3
2024-01-03,S001,Tempe,campus corridor,beverages,196.18,877.0,1,0,none,0,none,0,0,0,76.3,0.3872727272727272,2,Wednesday,1,1,1,3
2024-01-03,S001,Tempe,campus corridor,snacks,136.26,877.0,0,0,none,0,none,0,0,0,76.3,0.3872727272727272,2,Wednesday,1,1,1,3
2024-01-03,S001,Tempe,campus corridor,dairy,99.79,877.0,0,0,none,0,none,0,0,0,76.3,0.3872727272727272,2,Wednesday,1,1,1,3
2024-01-03,S001,Tempe,campus corridor,bakery,108.38,877.0,0,0,none,0,none,0,0,0,76.3,0.3872727272727272,2,Wednesday,1,1,1,3
2024-01-03,S001,Tempe,campus corridor,frozen,89.03,877.0,0,0,none,0,none,0,0,0,76.3,0.3872727272727272,2,Wednesday,1,1,1,3
2024-01-04,S001,Tempe,campus corridor,produce,166.58,909.0,0,0,none,0,none,0,0,0,76.0,0.38181818181818183,3,Thursday,1,1,1,4
2024-01-04,S001,Tempe,campus corridor,beverages,166.97,909.0,0,0,none,0,none,0,0,0,76.0,0.38181818181818183,3,Thursday,1,1,1,4
2024-01-04,S001,Tempe,campus corridor,snacks,167.69,909.0,1,0,none,0,none,0,0,0,76.0,0.38181818181818183,3,Thursday,1,1,1,4
2024-01-04,S001,Tempe,campus corridor,dairy,141.07,909.0,0,0,none,0,none,0,0,0,76.0,0.38181818181818183,3,Thursday,1,1,1,4
2024-01-04,S001,Tempe,campus corridor,bakery,126.29,909.0,0,0,none,0,none,0,0,0,76.0,0.38181818181818183,3,Thursday,1,1,1,4
2024-01-04,S001,Tempe,campus corridor,frozen,114.51,909.0,1,0,none,0,none,0,0,0,76.0,0.38181818181818183,3,Thursday,1,1,1,4
2024-01-05,S001,Tempe,campus corridor,produce,175.19,856.0,0,0,none,0,none,0,0,0,75.7,0.3763636363636364,4,Friday,1,1,1,5
2024-01-05,S001,Tempe,campus corridor,beverages,158.73,856.0,0,0,none,0,none,0,0,0,75.7,0.3763636363636364,4,Friday,1,1,1,5
2024-01-05,S001,Tempe,campus corridor,snacks,129.09,856.0,0,0,none,0,none,0,0,0,75.7,0.3763636363636364,4,Friday,1,1,1,5
2024-01-05,S001,Tempe,campus corridor,dairy,114.57,856.0,0,0,none,0,none,0,0,0,75.7,0.3763636363636364,4,Friday,1,1,1,5
2024-01-05,S001,Tempe,campus corridor,bakery,100.43,856.0,0,0,none,0,none,0,0,0,75.7,0.3763636363636364,4,Friday,1,1,1,5
2024-01-05,S001,Tempe,campus corridor,frozen,83.85,856.0,0,0,none,0,none,0,0,0,75.7,0.3763636363636364,4,Friday,1,1,1,5
2024-01-06,S001,Tempe,campus corridor,produce,178.67,937.0,0,0,none,0,none,1,0,0,75.4,0.370909090909091,5,Saturday,1,1,1,6
2024-01-06,S001,Tempe,campus corridor,beverages,202.63,937.0,0,0,none,0,none,1,0,0,75.4,0.370909090909091,5,Saturday,1,1,1,6
2024-01-06,S001,Tempe,campus corridor,snacks,212.35,937.0,1,0,none,0,none,1,0,0,75.4,0.370909090909091,5,Saturday,1,1,1,6
2024-01-06,S001,Tempe,campus corridor,dairy,148.29,937.0,0,0,none,0,none,1,0,0,75.4,0.370909090909091,5,Saturday,1,1,1,6
2024-01-06,S001,Tempe,campus corridor,bakery,135.85,937.0,0,0,none,0,none,1,0,0,75.4,0.370909090909091,5,Saturday,1,1,1,6
2024-01-06,S001,Tempe,campus corridor,frozen,120.99,937.0,0,0,none,0,none,1,0,0,75.4,0.370909090909091,5,Saturday,1,1,1,6
2024-01-07,S001,Tempe,campus corridor,produce,184.93,933.0,0,0,none,0,none,1,0,0,75.1,0.36545454545454537,6,Sunday,1,1,1,7
2024-01-07,S001,Tempe,campus corridor,beverages,212.56,933.0,0,0,none,0,none,1,0,0,75.1,0.36545454545454537,6,Sunday,1,1,1,7
2024-01-07,S001,Tempe,campus corridor,snacks,161.97,933.0,0,0,none,0,none,1,0,0,75.1,0.36545454545454537,6,Sunday,1,1,1,7
2024-01-07,S001,Tempe,campus corridor,dairy,140.35,933.0,0,0,none,0,none,1,0,0,75.1,0.36545454545454537,6,Sunday,1,1,1,7
2024-01-07,S001,Tempe,campus corridor,bakery,102.43,933.0,0,0,none,0,none,1,0,0,75.1,0.36545454545454537,6,Sunday,1,1,1,7
2024-01-07,S001,Tempe,campus corridor,frozen,92.01,933.0,0,0,none,0,none,1,0,0,75.1,0.36545454545454537,6,Sunday,1,1,1,7
2024-01-08,S001,Tempe,campus corridor,produce,179.45,782.0,0,0,none,0,none,0,0,0,74.8,0.35999999999999993,0,Monday,1,2,1,8
2024-01-08,S001,Tempe,campus corridor,beverages,157.41,782.0,0,0,none,0,none,0,0,0,74.8,0.35999999999999993,0,Monday,1,2,1,8
2024-01-08,S001,Tempe,campus corridor,snacks,149.1,782.0,1,0,none,0,none,0,0,0,74.8,0.35999999999999993,0,Monday,1,2,1,8
2024-01-08,S001,Tempe,campus corridor,dairy,116.26,782.0,0,0,none,0,none,0,0,0,74.8,0.35999999999999993,0,Monday,1,2,1,8
2024-01-08,S001,Tempe,campus corridor,bakery,90.22,782.0,0,0,none,0,none,0,0,0,74.8,0.35999999999999993,0,Monday,1,2,1,8
2024-01-08,S001,Tempe,campus corridor,frozen,91.91,782.0,0,0,none,0,none,0,0,0,74.8,0.35999999999999993,0,Monday,1,2,1,8
2024-01-09,S001,Tempe,campus corridor,produce,145.99,818.0,0,0,none,0,none,0,0,0,74.5,0.35454545454545455,1,Tuesday,1,2,1,9
2024-01-09,S001,Tempe,campus corridor,beverages,170.31,818.0,0,0,none,0,none,0,0,0,74.5,0.35454545454545455,1,Tuesday,1,2,1,9
2024-01-09,S001,Tempe,campus corridor,snacks,148.54,818.0,1,0,none,0,none,0,0,0,74.5,0.35454545454545455,1,Tuesday,1,2,1,9
2024-01-09,S001,Tempe,campus corridor,dairy,118.16,818.0,0,0,none,0,none,0,0,0,74.5,0.35454545454545455,1,Tuesday,1,2,1,9
2024-01-09,S001,Tempe,campus corridor,bakery,84.52,818.0,0,0,none,0,none,0,0,0,74.5,0.35454545454545455,1,Tuesday,1,2,1,9
2024-01-09,S001,Tempe,campus corridor,frozen,86.19,818.0,0,0,none,0,none,0,0,0,74.5,0.35454545454545455,1,Tuesday,1,2,1,9
2024-01-10,S001,Tempe,campus corridor,produce,178.78,825.0,0,0,none,0,none,0,0,0,74.2,0.3490909090909091,2,Wednesday,1,2,1,10
2024-01-10,S001,Tempe,campus corridor,beverages,157.65,825.0,0,0,none,0,none,0,0,0,74.2,0.3490909090909091,2,Wednesday,1,2,1,10
2024-01-10,S001,Tempe,campus corridor,snacks,140.5,825.0,0,0,none,0,none,0,0,0,74.2,0.3490909090909091,2,Wednesday,1,2,1,10
2024-01-10,S001,Tempe,campus corridor,dairy,117.57,825.0,0,0,none,0,none,0,0,0,74.2,0.3490909090909091,2,Wednesday,1,2,1,10
2024-01-10,S001,Tempe,campus corridor,bakery,98.43,825.0,0,0,none,0,none,0,0,0,74.2,0.3490909090909091,2,Wednesday,1,2,1,10
2024-01-10,S001,Tempe,campus corridor,frozen,82.67,825.0,0,0,none,0,none,0,0,0,74.2,0.3490909090909091,2,Wednesday,1,2,1,10
2024-01-11,S001,Tempe,campus corridor,produce,175.86,907.0,0,0,none,0,none,0,0,0,74.0,0.34545454545454546,3,Thursday,1,2,1,11
2024-01-11,S001,Tempe,campus corridor,beverages,158.06,907.0,0,0,none,0,none,0,0,0,74.0,0.34545454545454546,3,Thursday,1,2,1,11
2024-01-11,S001,Tempe,campus corridor,snacks,148.82,907.0,0,0,none,0,none,0,0,0,74.0,0.34545454545454546,3,Thursday,1,2,1,11
2024-01-11,S001,Tempe,campus corridor,dairy,141.08,907.0,0,0,none,0,none,0,0,0,74.0,0.34545454545454546,3,Thursday,1,2,1,11
2024-01-11,S001,Tempe,campus corridor,bakery,95.25,907.0,0,0,none,0,none,0,0,0,74.0,0.34545454545454546,3,Thursday,1,2,1,11
2024-01-11,S001,Tempe,campus corridor,frozen,88.02,907.0,0,0,none,0,none,0,0,0,74.0,0.34545454545454546,3,Thursday,1,2,1,11
2024-01-12,S001,Tempe,campus corridor,produce,172.9,947.0,0,0,none,0,none,0,0,0,73.7,0.34,4,Friday,1,2,1,12
2024-01-12,S001,Tempe,campus corridor,beverages,161.27,947.0,0,0,none,0,none,0,0,0,73.7,0.34,4,Friday,1,2,1,12
2024-01-12,S001,Tempe,campus corridor,snacks,168.17,947.0,1,0,none,0,none,0,0,0,73.7,0.34,4,Friday,1,2,1,12
2024-01-12,S001,Tempe,campus corridor,dairy,131.12,947.0,0,0,none,0,none,0,0,0,73.7,0.34,4,Friday,1,2,1,12
2024-01-12,S001,Tempe,campus corridor,bakery,109.6,947.0,0,0,none,0,none,0,0,0,73.7,0.34,4,Friday,1,2,1,12
2024-01-12,S001,Tempe,campus corridor,frozen,91.22,947.0,0,0,none,0,none,0,0,0,73.7,0.34,4,Friday,1,2,1,12
2024-01-13,S001,Tempe,campus corridor,produce,206.08,983.0,0,0,none,0,none,1,0,0,73.4,0.33454545454545465,5,Saturday,1,2,1,13
2024-01-13,S001,Tempe,campus corridor,beverages,181.37,983.0,0,0,none,0,none,1,0,0,73.4,0.33454545454545465,5,Saturday,1,2,1,13
2024-01-13,S001,Tempe,campus corridor,snacks,173.64,983.0,0,0,none,0,none,1,0,0,73.4,0.33454545454545465,5,Saturday,1,2,1,13
2024-01-13,S001,Tempe,campus corridor,dairy,145.68,983.0,0,0,none,0,none,1,0,0,73.4,0.33454545454545465,5,Saturday,1,2,1,13
2024-01-13,S001,Tempe,campus corridor,bakery,113.58,983.0,0,0,none,0,none,1,0,0,73.4,0.33454545454545465,5,Saturday,1,2,1,13
