date,store_id,city,store_profile,transactions,holiday_flag,holiday_name,local_event_flag,local_event_name,weekend_flag,payday_flag,heatwave_flag,avg_temp_f,temp_index,day_of_week,month,day_name,week_of_year,quarter,day_of_month
2024-01-01,S001,Tempe,campus corridor,749.0,1,new_years_day,0,none,0,1,0,76.9,0.3981818181818183,0,1,Monday,1,1,1
2024-01-02,S001,Tempe,campus corridor,833.0,0,none,0,none,0,1,0,76.6,0.39272727272727265,1,1,Tuesday,1,1,2
2024-01-03,S001,Tempe,campus corridor,877.0,0,none,0,none,0,0,0,76.3,0.3872727272727272,2,1,Wednesday,1,1,3
2024-01-04,S001,Tempe,campus corridor,909.0,0,none,0,none,0,0,0,76.0,0.38181818181818183,3,1,Thursday,1,1,4
2024-01-05,S001,Tempe,campus corridor,856.0,0,none,0,none,0,0,0,75.7,0.3763636363636364,4,1,Friday,1,1,5
2024-01-06,S001,Tempe,campus corridor,937.0,0,none,0,none,1,0,0,75.4,0.370909090909091,5,1,Saturday,1,1,6
2024-01-07,S001,Tempe,campus corridor,933.0,0,none,0,none,1,0,0,75.1,0.36545454545454537,6,1,Sunday,1,1,7
2024-01-08,S001,Tempe,campus corridor,782.0,0,none,0,none,0,0,0,74.8,0.35999999999999993,0,1,Monday,2,1,8
2024-01-09,S001,Tempe,campus corridor,818.0,0,none,0,none,0,0,0,74.5,0.35454545454545455,1,1,Tuesday,2,1,9
2024-01-10,S001,Tempe,campus corridor,825.0,0,none,0,none,0,0,0,74.2,0.3490909090909091,2,1,Wednesday,2,1,10
2024-01-11,S001,Tempe,campus corridor,907.0,0,none,0,none,0,0,0,74.0,0.34545454545454546,3,1,Thursday,2,1,11
2024-01-12,S001,Tempe,campus corridor,947.0,0,none,0,none,0,0,0,73.7,0.34,4,1,Friday,2,1,12
2024-01-13,S001,Tempe,campus corridor,983.0,0,none,0,none,1,0,0,73.4,0.33454545454545465,5,1,Saturday,2,1,13
2024-01-14,S001,Tempe,campus corridor,1023.0,0,none,0,none,1,1,0,73.1,0.329090909090909,6,1,Sunday,2,1,14
2024-01-15,S001,Tempe,campus corridor,856.0,0,none,0,none,0,1,0,72.8,0.3236363636363636,0,1,Monday,3,1,15
2024-01-16,S001,Tempe,campus corridor,840.0,0,none,0,none,0,1,0,72.5,0.3181818181818182,1,1,Tuesday,3,1,16
2024-01-17,S001,Tempe,campus corridor,866.0,0,none,0,none,0,0,0,72.3,0.3145454545454545,2,1,Wednesday,3,1,17
2024-01-18,S001,Tempe,campus corridor,847.0,0,none,0,none,0,0,0,72.0,0.3090909090909091,3,1,Thursday,3,1,18
2024-01-19,S001,Tempe,campus corridor,951.0,0,none,0,none,0,0,0,71.7,0.3036363636363637,4,1,Friday,3,1,19
2024-01-20,S001,Tempe,campus corridor,980.0,0,none,0,none,1,0,0,71.4,0.29818181818181827,5,1,Saturday,3,1,20
2024-01-21,S001,Tempe,campus corridor,924.0,0,none,0,none,1,0,0,71.2,0.2945454545454546,6,1,Sunday,3,1,21
2024-01-22,S001,Tempe,campus corridor,772.0,0,none,0,none,0,0,0,70.9,0.2890909090909092,0,1,Monday,4,1,22
2024-01-23,S001,Tempe,campus corridor,860.0,0,none,0,none,0,0,0,70.7,0.2854545454545455,1,1,Tuesday,4,1,23
2024-01-24,S001,Tempe,campus corridor,849.0,0,none,0,none,0,0,0,70.4,0.2800000000000001,2,1,Wednesday,4,1,24
2024-01-25,S001,Tempe,campus corridor,866.0,0,none,0,none,0,0,0,70.1,0.2745454545454544,3,1,Thursday,4,1,25
2024-01-26,S001,Tempe,campus corridor,911.0,0,none,0,none,0,0,0,69.9,0.270909090909091,4,1,Friday,4,1,26
2024-01-27,S001,Tempe,campus corridor,1000.0,0,none,0,none,1,0,0,69.6,0.26545454545454533,5,1,Saturday,4,1,27
2024-01-28,S001,Tempe,campus corridor,943.0,0,none,0,none,1,0,0,69.4,0.2618181818181819,6,1,Sunday,4,1,28
2024-01-29,S001,Tempe,campus corridor,808.0,0,none,0,none,0,0,0,69.2,0.25818181818181823,0,1,Monday,5,1,29
2024-01-30,S001,Tempe,campus corridor,834.0,0,none,0,none,0,0,0,68.9,0.25272727272727286,1,1,Tuesday,5,1,30
2024-01-31,S001,Tempe,campus corridor,925.0,0,none,0,none,0,0,0,68.7,0.24909090909090914,2,1,Wednesday,5,1,31
2024-02-01,S001,Tempe,campus corridor,920.0,0,none,0,none,0,1,0,68.5,0.24545454545454545,3,2,Thursday,5,1,1
2024-02-02,S001,Tempe,campus corridor,962.0,0,none,0,none,0,1,0,68.2,0.24000000000000005,4,2,Friday,5,1,2
